year,1,2,3,4,5,6
1995,97822,50893,29591,12346,128926,201422
1995,39780,74841,11377,33878,60331,31000
1995,34217,10792,14781,5550,102607,79167
1995,14995,74499,5255,10036,31158,14455
1995,104217,40080,94204,24792,286908,174454
1995,158872,20773,68365,11179,189791,193709
1996,100473,55697,28774,12152,125469,199121
1996,42380,82383,12053,41210,54911,29205
1996,37177,10745,14839,5596,100979,79177
1996,15934,88860,5401,10146,30466,14313
1996,109607,42066,93630,25459,269561,169928
1996,163730,19331,68205,10648,183361,190039
